icao24,r,t
400A43,G-JEDO,DH8D
395020,F-GUBA,E145
4056B8,G-ROBJ,DR40
400FE9,G-RJXN,E145
400513,G-DOCT,B734
3CF86B,D-CVJN,LJ40
06A014,A7-HHJ,A319
405DB2,G-CFJO,DA40
405F78,G-ECOO,DH8D
400DB4,G-EZAS,A319
40093F,G-EUOG,A319
4B0F0B,HB-FSD,PC12
78011F,B-HIH,B742
43C041,ZH865,C30J
400B8A,G-CDEG,B738
0A0022,7T-VJP,B738
40055F,G-DOCY,B734
405DEA,G-ECOH,DH8D
44914C,OO-DJL,RJ85
AA90A0,N780BA,B744
40079F,G-WOWA,DH8C
4007FB,G-YMMP,B772
4CA6AC,EI-RJY,RJ85
400C6A,G-GAFA,PA34
405638,G-EZDJ,A319
40089A,G-EZJA,B737
43C0A3,XV106,VC10
40097C,G-EUUA,A320
C0583F,C-GHKW,A333
400DA0,G-DBCI,A319
406014,G-EZTJ,A320
4CA674,EI-RJJ,RJ85
4006AA,G-CIVT,B744
A25181,N249AU,B762
400B04,G-JEDW,DH8D
C0054A,C-FCAB,B763
4AC915,SE-RHU,B733
405F77,G-ZJET,C510
C0772A,C-GTDH,A320
43E748,M-WMWM,C25A
400A78,G-JEDR,DH8D
405D12,G-EZDY,A319
AE10B7,01-0188,C17
4005C8,G-CRPH,A320
400418,G-BUSI,A320
49116B,CS-DKK,GLF5
484132,PH-BXC,B738
4CA4F6,EI-DPS,B738
400879,G-EUPJ,A319
4BA9A8,TC-JMH,A321
484068,PH-KCK,MD11
400F01,G-EZBG,A319
40058C,G-ZZZC,B772
3000AC,I-DAWW,MD82
4CA740,EI-EBY,B738
400890,G-GFFH,B735
4CA62A,EI-RJA,RJ85
4005E2,G-CIVI,B744
4CA4C2,EI-RJP,RJ85
4010ED,G-EZBY,A319
398562,F-HBLC,E190
4060A5,G-FLBC,DH8D
010056,SU-GBX,B772
A4667C,N383AN,B763
4009C0,G-TTIC,A321
A884B6,N648UA,B763
4CA625,EI-DWY,B738
4CA5BD,EI-RJB,RJ85
4CA4E7,EI-DPC,B738
4009C5,G-EUUH,A320
4CA1D1,EI-DAR,B738
A48340,N390EU,PRM1
400517,G-DOCX,B734
400A9F,G-EZEG,A319
4008F1,G-EUPW,A319
400D57,G-VBLU,A346
4CA2A7,EI-DHS,B738
4CA250,EI-DCV,B738
4004C9,G-DOCA,B734
3C6586,D-AILF,A319
4CA24D,EI-DCY,B738
400D9B,G-VONJ,PRM1
40097D,G-EUUB,A320
400699,G-CPEP,B752
401122,G-TOYK,B733
405F7B,G-TCAD,A320
43C23E,ZR322,A109
4603C6,OH-BLE,MD90
40128A,G-STRY,B752
