icao24,r,t
401D35,G-BFRS,C172
4CA8FF,EI-EIC,A320
AE49C2,09-9206,C17
472401,HA-LKN,F900
4B0F6F,HB-FVZ,PC12
AE01B7,84-0081,LJ35
400E34,G-GGNG,R44
4CA8CF,EI-TEN,C750
43C616,ZJ998,EH10
738061,4X-EKT,B738
AE05DE,87-9281,C130
AE05E1,87-9285,C130
43C353,ZF117,S61
3C4847,D-ABBG,B738
48A5F0,SP-KPR,SF34
084FE0,TT-ABD,B737
3B76B3,86,FA7X
40643A,G-EZTZ,A320
395722,F-GVZC,AT45
AAE79D,N801WW,F2TH
4B38FE,HB-VPE,C25A
3B77D9,158,CN35
738065,4X-EKC,B738
0D0160,XA-OEM,GLF5
AA01A2,N744CK,B744
400EC6,G-BYUB,G115
400E95,G-BYWS,G115
AD3528,N950FD,B752
4CA906,EI-MED,C550
401128,G-CBML,DHC6
43E881,M-HELI,EC55
343650,EC-LJT,CRJX
343693,EC-LKH,A320
34254F,EC-JZU,CRJ9
506C20,S5-ADG,F2TH
4CA841,EI-SLN,AT75
AAF161,N804GT,BE9L
AC3D4D,N888TY,B737
018072,5A-LAL,CRJ9
404401,G-FEDA,EC20
A1DB3A,N219CY,B763
A25785,N250AG,B733
393484,F-GNEE,BE9L
400FB8,G-OCCD,DA40
47834D,LN-RPT,B736
0D0257,XA-VER,GLF4
40128B,G-BSPN,P28R
7C4928,VH-OQI,A388
A7D6C6,N604GW,CL60
A3201B,N300JA,GLF4
AE2210,07-8609,C30J
43C27B,ZJ230,H64
4B0F0D,HB-FSF,PC12
40649F,G-EUYK,A320
395D22,F-GXJC,F2TH
40640C,G-GEIR,E55P
3CD94D,D-CJPD,LJ31
4CA8D4,EI-ENI,B738
A64D34,N505HB,P46T
AE220B,08-8604,C30J
A286B8,N262DB,SR22
E47E06,PT-OEX,F900
43E7E7,M-MHDH,C510
06A0A4,A7-MBK,A320
AE11E3,77-0356,E3TF
3CF05C,D-CSIE,LJ31
49D1B4,OK-SLD,L410
A0466C,N117CF,C337
40103A,G-BBBN,P28A
40644D,G-CGSM,RJ85
4AB42E,SE-MAN,ATP
43E892,M-MDDE,CL60
E4814C,PR-GRD,C750
3CC5C4,D-CCEU,C650
AC7159,N900YG,F900
43C6B8,ZZ177,C17
400C91,G-VALY,TRIN
C06736,C-GNCF,DH8C
AE2FAE,08-8202,C17
3C48CE,D-ABFN,A320
43E87F,M-AIRU,CL60
A21C6C,N235PV,GLF5
4CA8D5,EI-ENJ,B738
3E19FD,D-IBAR,BE20
AE04E0,58-0109,K35R
A617A1,N492BB,
4B1883,HB-JHJ,A333
400EDD,G-BYUZ,G115
400EC5,G-BYUA,G115
A36490,N318AG,GLF5
A21C5D,N235PE,GLF5
43C532,ZD282,LYNX
AC400D,N889JA,GLEX
4603D1,OH-BLP,B712
71022E,HZ-A3,A320
80061E,VT-TMS,GLF5
A17907,N194WM,GLEX
44CCCE,OO-SFN,A333
A9D6C6,N733G,FA50
A4C05D,N405MX,A320
484CA7,PH-PED,TBM8
7C6CE8,VH-VSQ,C510
43C4EC,XZ184,LYNX
A22AC5,N239JP,C425
4BA948,TC-JJH,B77W
ADFE69,91-1238,C130
440480,OE-IVA,FA7X
4BD036,TC-TAV,H25B
AD34B7,N950AR,MD11
43C4EE,XZ190,LYNX
0A0075,7T-VKE,B738
AD5CA7,N960FD,B752
43E88B,M-UNIS,GLEX
3E17EA,D-IAGG,PRM1
AABBD2,N791AX,B762
43C4BB,ZA681,H47
43C510,XZ617,LYNX
3825FA,F-WWVL,FA7X
3C6483,D-AIDC,A310
3E29CB,D-IHAH,BE9L
392B33,F-GKZT,BE58
43C527,XZ679,LYNX
AC3CA6,N888MF,GLF4
4CA8D7,EI-ENL,B738
3F992A,50+42,C160
484515,PH-SVP,P28A
400F15,G-DIAM,DA40
AE03D2,164441,C130
4BAA15,TC-JPU,A320
3C0CDB,D-ATWO,E135
505DD9,OM-SYN,C25B
4249B9,VQ-BMP,B738
00B000,ZS-SDZ,CL60
4CA8D6,EI-ENK,B738
0200B0,01-TA,TEX2
A14704,N1812C,GLEX
39A68B,F-HJUL,B738
ABC1DA,N857FD,B77L
0100F2,SU-MAN,H25B
AE2736,KC-3802,C30J
AA28FF,N754BA,GLF5
401D61,G-BGAA,C152
A7C599,N60HD,H25B
404640,G-CBFO,C172
40234E,G-PING,AA5
40464F,G-CBFN,HR10
4CA8D8,EI-ENM,B738
040031,ET-ANP,B77L
4CA8D9,EI-ENN,B738
A7EA68,N609TS,CL60
AAF9CE,N806SY,B738
478742,LN-DYJ,B738
AAE5E4,N801DE,F2TH
740DA3,JY-CMC,E135
43C072,ZJ123,EH10
C0131B,C-FHGC,CL60
70203A,S2-AFF,A310
ACD10B,N925DC,GLF4
4CC0DD,TF-TNM,B734
4CA8DB,EI-ENP,B738
4064CC,G-FLBF,DH8D
4CA8DA,EI-ENO,B738
AE07AA,59-1520,K35R
44F429,CH-09,C130
480805,S-440,AS3B
3AABFB,139,TBM7
AB1AC5,N8141T,B350
150697,RA-67223,CL30
4AC879,SE-RCY,C550
43E84C,M-KRRR,LJ55
44042F,OE-HOO,CL30
AA43E7,N7600G,C750
440562,OE-HLL,CL30
51005A,EW-303PJ,CRJ2
440520,OE-FCP,C510
343605,EC-LIH,BE20
740729,JY-AYI,A320
A029DA,N11A,CL60
39864E,F-HBSO,AT43
3C612F,D-AHIO,A319
393D6A,F-GPLK,BE9L
3E50DF,D-IVVB,C25A
4064B4,G-TEKK,P06T
401028,G-BJGX,S76
43C4C8,ZA712,
71BE16,HL7616,B744
402791,G-CVXN,F406
AA69B8,N770HB,H25B
A00370,N10MB,LJ60
34124E,EC-GXU,MD83
C08391,C-GXVK,G150
503C92,LY-DAT,
50822E,UR-WRH,A321
50822F,UR-WRI,A321
40643D,G-EZUC,A320
4CA8BD,EI-DVK,A320
44CCCF,OO-SFO,A333
4BA947,TC-JJG,B77W
469E43,SX-GRC,FA7X
4D00C9,LX-LGF,DH8D
A99A46,N718FD,A306
3002E0,I-AIGL,B733
7C4927,VH-OQH,A388
406471,G-FDZT,B738
A9FFA4,N743WA,B744
0D0493,XA-CXW,FA7X
49D066,OK-JDM,LJ60
A85265,N635XJ,CL60
AE01D1,62-4130,R135
4CA8E4,EI-ENR,B738
342550,EC-JZV,CRJ9
398E60,F-HTDA,CRJ9
43C4D1,ZA707,H47
71BF34,HL7734,B772
A74CC8,N57HJ,GLF4
4064C3,G-MOSJ,BE9L
401127,G-BIHO,DHC6
3C4DD0,D-ACNP,CRJ9
43C513,XZ643,LYNX
7102E3,1625,C130
A1EC2C,N223AF,HA4T
A56906,N448HB,HA4T
780A0F,B-LEX,B737
424937,VQ-BKI,GLEX
4B0ED5,HB-FQB,PC12
400D68,G-VVBK,PA34
4064F6,G-TAGF,F900
8962CD,A6-BBD,GLEX
406416,G-DCAM,AS55
7386C5,4X-WSM,G250
43E886,M-MNDD,F900
43C2A5,ZA935,PUMA
45AD73,OY-KKS,B736
4CA8E5,EI-ENS,B738
40643C,G-EZUA,A320
38261A,F-WWVM,FA7X
4008B9,G-EMBP,E145
7C3A8B,VH-LUL,CL60
343695,EC-LKG,A320
A6E7AB,N544KB,C680
33FEC8,MM62169,P180
511065,ES-ACC,CRJ9
43E85E,M-ERCI,CL60
44031A,OE-FGK,C525
4BB462,TC-MCB,A30B
3F995F,50+95,C160
401205,G-EJMG,C150
4010BD,G-LYDF,PA31
3964F5,F-GZHV,B738
018048,5A-DKQ,B463
392E40,F-GLSA,FA50
440236,OE-FLG,C525
3C48CD,D-ABFM,A320
440567,OE-HGO,GALX
401EB5,G-BHZK,AA5
4D02DC,LX-PMR,PRM1
4CA8E6,EI-ENT,B738
A6D676,N54KB,GLF5
502C46,YL-RAH,SF34
AE0311,74-1675,C130
3C5469,D-AECI,E190
398440,F-HBCA,B190
40602F,G-WOOO,CRUZ
AE0312,74-1677,C130
4064BB,G-GDFC,B738
40641C,G-GPAT,BE76
AE0401,84-0156,BE20
48D844,015,C295
71C227,HL8227,A332
4CA2D0,EI-IAN,
A76935,N577JC,C750
A63DED,N501CV,GLF5
A09CAB,N139AL,F900
3EB1A6,16+01,A343
AAD24E,N797CX,C750
40333A,G-WINS,PA32
AE0847,58-0107,K35R
43C512,XZ642,LYNX
34360B,EC-LJI,B733
491139,CS-DIY,C25B
4A0664,YR-ASD,A318
4CA8E7,EI-ENV,B738
4B9696,TC-ETV,A321
60084D,4K-AZ77,A320
4B39C6,HB-VWW,C525
A645EF,N503JT,E135
AE0132,97-0101,C560
E80263,CC-BCB,A319
AE0EAE,87-24583,H60
3434D2,EC-LDN,B734
43C51A,XZ654,LYNX
400EB9,G-BYWD,G115
400E8F,G-BYWL,G115
43E852,M-TNTJ,LJ55
43E8A4,M-AUTO,LJ60
AE0633,85-0149,BE20
4CA21B,EI-DFI,E170
43E89B,M-VICA,CL60
AE0503,60-0336,K35R
C2AEA5,130307,C130
0200B4,05-TE,TEX2
0200B5,06-TF,TEX2
010108,SU-GCZ,B738
A47561,N387AX,B763
A523A4,N430FJ,J328
4402D3,OE-FIX,C525
A3E648,N350RD,B350
39A44C,F-HJCM,BE9L
4064D4,G-TAGE,CL60
01010A,SU-GDB,B738
440573,OE-GGP,C56X
48411A,P4-MAF,H25B
A63704,N5UD,C525
AE0425,60-0342,K35R
A704D9,N551TP,B350
4CA8E8,EI-ENW,B738
4CC3DD,TF-NAC,B744
43E8A1,M-ABDL,HA4T
424274,VP-BEB,GLEX
A698C5,N524LA,B763
3C6484,D-AIDD,A321
01010B,SU-GDC,B738
A1BDCE,N211FZ,GLF4
A0F684,N161MM,GLF4
4CA8E9,EI-ENX,B738
A7E186,N607CV,GLF5
3E47EC,D-ISKY,C501
3E3F1E,D-IPCG,C425
4A925A,SE-DRZ,C500
4041DF,G-BYNE,PC6T
484123,P4-KUL,E35L
15405E,RA-82014,A124
341612,EC-IIR,E135
4B9DAD,TC-GMM,FA7X
AE12B3,65-0992,C130
AB27AA,N818G,GLF4
510047,EW-277PJ,CRJ2
4CA886,EI-UNV,B772
3C6485,D-AIDE,A321
43E8AA,M-ABDN,C25B
400E2A,G-BFZD,C182
391E07,F-GHQH,A320
400ECF,G-BYUK,G115
400EA9,G-BYXL,G115
400EF3,G-BYVW,G115
511064,ES-ACB,CRJ9
010144,SU-GDX,B738
3E1819,D-IAIB,C525
3433CE,EC-LBO,C550
400EDC,G-BYUY,G115
34368E,EC-LEA,A320
3C5CA2,D-AGEB,B733
43C25F,ZJ202,H64
ABA76C,N850AV,TBM8
A984AB,N712ND,M20P
3C4DD1,D-ACNQ,CRJ9
502C40,YL-LCB,A320
343614,EC-LIO,BE40
71BC92,HL7492,B744
AACE65,N796AX,B762
A74E7E,N570AW,
45CCE3,OY-SGC,GL5T
A95534,N700GR,GL5T
AB28C6,N818TJ,GLF3
4BA94A,TC-JJJ,B77W
4D2051,9H-GBT,GLEX
39A1E4,F-HIPE,E55P
AC8182,N9048K,C510
78026E,B-6070,A332
AD3558,N950HB,HA4T
4844B2,P4-NGK,B737
A826AC,N624SC,SR22
A6BED4,N5336Z,SR20
459EC7,OY-GVG,GLF4
4B1968,HB-JQE,E190
A95FF0,N703CL,GLEX
A43F87,N373GA,GALX
4CA8EA,EI-ENY,B738
3004B9,I-EDLO,H25B
4063E7,G-VKSS,A333
AE0261,61-0310,K35R
00B208,ZS-SXZ,A332
AAFBFA,N807BC,GLF4
3C65A2,D-AIMB,A388
478761,LN-NOR,B738
4403FB,OE-GNA,C25B
A9B662,N725CS,H25B
484CBA,PH-BVF,B77W
4064A1,G-FDZU,B738
473B2E,HA-WKS,ALO2
400A63,G-DAAT,EC35
0D0514,XA-AYJ,E190
43C4BE,ZA714,H47
4CA8EB,EI-ENZ,B738
A67999,N516VE,GLF4
A1776F,N194ED,PA46
AC4557,N890AC,LJ55
3C60B2,D-AHER,F900
3424D0,EC-JZL,A332
4404C1,OE-IRM,GLEX
AE49C1,09-9205,C17
43E87A,M-PBKI,GLF4
424985,VQ-BHA,FA7X
508035,UR-82060,A225
010147,SU-GEA,B738
A8E4B2,N672RW,H25B
4B39C9,HB-VWZ,C510
800119,VT-EYA,A320
43C54B,ZG921,LYNX
AB1B08,N8143Q,B350
8990DE,B-16716,B77W
ADFEBB,95-0123,C560
401A27,G-BAPW,P28R
3C48CF,D-ABFO,A320
AC1E56,N880FD,F28
AB5A14,N830TS,HA4T
AB2891,N818RF,GLF5
401803,G-AXDI,C172
3CFAF5,D-CWIN,C680
AE29FD,166694,B738
461F08,OH-LTO,A333
73806F,4X-EKL,B738
403049,G-TOAK,TRIN
43E88F,M-AMAN,PC12
ADD1DD,N99SC,GLF4
34364D,EC-LKO,B738
43E8A7,M-INXS,H25B
157765,RA-96101,IL96
AE026B,62-3515,K35R
43C1A0,ZA611,TOR
A712B1,N555HD,GL5T
71C228,HL8228,A332
342102,EC-JBH,FA20
4400BA,OE-FGD,C525
AE07EF,96-0005,C17
40174E,G-AVWY,RF4
3CD04F,D-CGEP,G150
400EBC,G-BYWG,G115
478741,LN-DYK,B738
44AC81,OO-KDA,SR20
45A84A,OY-JBJ,H25B
4AC8D4,SE-RFT,B738
4B0ED6,HB-FQC,PC12
4248E5,VQ-BAU,A319
A49B89,N39605,PA34
50822C,UR-DAF,A321
AC5802,N895BB,CL30
4B919A,TC-DLZ,C56X
4784BC,LN-RRC,B736
3C4971,D-ABKQ,B738
020046,CN-ANO,FA50
505E02,OM-VPB,PRM1
AE49C3,09-9207,C17
3E203C,D-IDKE,BE9L
AAE035,N80HB,C25C
43C4F2,XZ194,LYNX
43C132,XV303,C130
43C4FE,XZ215,LYNX
AE1261,63-7884,C130
43C06F,ZJ120,EH10
3E2657,D-IFSH,PAY3
3C48CC,D-ABFL,A320
C2B549,130604,C30J
40643E,G-EZUD,A320
A147D6,N1818C,GLF4
49D07A,OK-LFD,B350
4010C6,G-BCOL,C172
3C65A4,D-AIMD,A388
400EEF,G-BYVS,G115
400E9D,G-BYWZ,G115
AC01AE,N873CA,TBM8
C2B53F,130603,C30J
AB2275,N8163P,SR20
A0149C,N104LT,P68
4BCE8F,TC-STO,C650
4BA993,TC-JLS,A319
01010D,SU-GDE,B738
343613,EC-LKI,B763
3C48C3,D-ABFC,A320
440549,OE-LBV,A320
43C56A,ZH005,BN2T
45B9C1,OY-NNA,CRJ2
A8DB77,N67XL,P210
401E6F,G-BHOA,DR40
50818A,UR-DAD,A320
A00537,N100FF,E50P
A8B319,N66NN,R66
4CA882,EI-UNR,B772
A688FA,N520AM,B738
A005C9,N100MB,F2TH
A7FF15,N614RD,GLF4
04C098,5Y-IHO,DH8A
A12316,N1721,BE36
AE061E,84-0208,C130
01010C,SU-GDD,B738
AE0622,84-0212,C130
AB3C97,N823GA,GLF4
A0679B,N125PS,CL60
44A838,OO-JAX,B738
469881,SX-FDA,C550
4D00C2,LX-LGR,B737
75007F,9M-MPR,B744
4064A9,G-SVEY,P68
AE11E0,77-0352,E3TF
A17C59,N195SL,
343210,EC-KSF,MD87
A76DF1,N578UP,B744
4249B2,VQ-BIW,A320
AE1456,05-5152,C17
3D6004,D-FIPO,P46T
498487,0453,C295
3B77FB,F-RADA,A310
C065EB,C-GMPM,PC12
AE0543,70-0445,C5
00801B,ZS-AAK,J328
AE1452,05-5148,C17
AE2E2E,84-0044,F15
4063B5,G-TYPH,B462
AE0623,84-0213,C130
4AB241,SE-LRA,SB20
406444,G-EZGG,A319
C00318,C-FBEL,CL60
44CE72,OO-SSR,A319
3D4F3B,D-FCGH,PC12
AC3C91,N888LK,GLF5
3E2ADE,D-IHKW,C525
4D2052,9H-AVK,A319
7CF838,A97-465,C30J
0640C5,5N-MJI,B737
43C074,ZJ125,EH10
489603,SP-LFD,AT72
3B772D,091,E121
4CA4C6,EI-DRI,
43C322,ZH856,EH10
400EBB,G-BYWF,G115
400E9C,G-BYWY,G115
010153,SU-GDP,B77W
400EC7,G-BYUC,G115
44034E,OE-GAL,C550
43E878,M-WING,F2TH
47873F,LN-DYM,B738
0100DE,SU-GCP,B738
748034,OD-TMA,A306
4BA94B,TC-JJK,B77W
3B77EE,F-RAXP,TBM7
AA5CBB,N767NF,B763
E4850F,PR-MLJ,GLEX
4D0229,LX-TQJ,FA7X
4CA11D,EI-EAB,A30B
AE10BD,01-0194,C17
406443,G-EZGF,A319
A0B9CB,N146JJ,SR20
4B16A0,HB-IOU,A320
3C4893,D-ABDS,A320
405155,G-EVIG,
4064E9,G-CGTN,BE9L
40219C,G-DOVE,C182
AE063F,57-1441,K35R
A70033,N550J,C550
3001A1,I-EEZF,A320
A56E46,N449YV,DH8B
AE2209,08-8602,C30J
ADFEBC,95-0124,C560
3C4DD2,D-ACNR,CRJ9
4D2053,9H-WLD,F900
43C1CA,ZA406,TOR
AE0478,58-0046,K35R
AE220E,08-8607,C30J
157767,RA-96103,IL96
43C6B5,ZK455,BE20
3001D0,I-LALL,C25A
AB3B4F,N82249,PA34
4C803F,5B-DCL,A320
400ED4,G-BYUP,G115
400EB3,G-BYXZ,G115
44D876,OO-VCV,C177
4063E6,G-VSXY,A333
AC77BB,N902MP,CL60
43C4DD,ZH892,
400B87,G-CBYU,P28A
A4AAA0,N40DN,TBM7
440546,OE-GXL,C56X
C2B553,130605,C30J
4D204E,9H-OVB,GL5T
4B18F1,HB-JLP,A320
43C10C,XV209,C130
ABC51C,N858AM,B738
40106A,G-OMKA,R44
400B11,G-BXWA,BE76
508233,UR-AAH,B763
06A07A,A7-BAM,B77W
4241BF,VP-CMX,FA7X
4400E1,OE-GIL,C550
AE026A,62-3504,K35R
AC2D32,N884FD,B77L
A9A597,N720WY,F2TH
4B0F60,HB-FVK,PC12
43C2C9,XZ719,LYNX
A52A9D,N432AS,GLF4
A062CE,N124CP,SR22
C2B55D,130606,C30J
A10F86,N168BG,C56X
A4B8C3,N403LC,
478740,LN-DYL,B738
C2B571,130608,C30J
058014,7Q-WPB,E135
3C65A1,D-AIMA,A388
A700FC,N550SA,GLF5
AE080D,99-0167,C17
AE0316,74-1688,C130
40465D,G-OPET,P28A
A1B4B9,N209PB,PC12
400EC9,G-BYUE,G115
3824DA,F-WWVC,F900
43C4E9,XZ180,LYNX
AC6DBC,N90KH,BE9L
3C65A3,D-AIMC,A388
4048B4,G-PACT,P28A
0640FF,5N-PZE,GLF4
3435C5,EC-LJP,GLEX
3839BA,F-WWGP,F2TH
484550,PH-NDD,TRIN
38481A,F-WWMS,A400
3C5446,D-AEBF,E190
3C65A5,D-AIME,A388
406473,G-ROOB,E50P
40457B,G-EZZL,GAZL
010146,SU-GDZ,B738
4950D2,CS-TFR,LJ45
471F4F,HA-LWH,A320
4D0139,LX-ACV,B744
40647F,G-FDZW,B738
AADE41,N8MC,GLF4
48B2C8,SP-MXI,P180
4CA92D,EI-DVM,A320
4A0661,YR-ASA,A318
AC81D8,N905B,F2TH
A74D32,N57MQ,
AC3CDE,N888PM,GLF4
3D32BD,D-ERLT,C182
4CA913,EI-EPE,B738
AC7749,N902H,GLF4
157766,RA-96102,IL96
44051D,OE-IDH,E135
43C4EA,XZ182,LYNX
A093BD,N136ZC,GLF4
4CA914,EI-EPF,B738
4603CF,OH-BLN,B712
44B0CE,OO-LFN,LJ45
AE03EB,165314,C130
400EEA,G-BYVM,G115
4A0663,YR-ASC,A318
404A6C,G-CCLW,DA40
4401B3,OE-IIB,F100
43E77E,M-HARP,PC12
A524C5,N430SY,B430
71BF43,HL7743,B772
79C001,B-2380,A343
A11882,N17TE,CL60
AC6511,N898WS,GLEX
4B188A,HB-JHQ,A333
3435C4,EC-LIY,GLF5
A0643D,N124TF,GLF4
A217B5,N234DP,CL30
A3DF9E,N349K,GLF4
4BA9CC,TC-JNL,A333
44023B,OE-LGS,A319
4CA883,EI-UNS,B772
40643F,G-EZUE,A320
A6D3BC,N539VE,GLF4
343697,EC-LKM,E190
A6A7C7,N528MP,GLEX
4BA94D,TC-JJM,B77W
00B037,ZS-SGC,CL60
3F9947,50+71,C160
4B1A65,HB-JZX,A320
3C48F1,D-ABGQ,A319
00B207,ZS-SXY,A333
471F50,HA-LWI,A320
503D9E,LY-VEX,A320
A51333,N426PE,CL60
4CA910,EI-EPB,B738
424164,VP-CPL,E135
4BBC50,TC-OBP,A320
4D0220,LX-RLG,E135
A0080C,N1007L,P28R
489065,SP-EDF,AT45
3D2743,D-ENCT,M20T
AAA79A,N786JB,GLF4
43E8B1,M-CELT,FA7X
400049,VP-CBA,B732
4CA31C,EI-DOU,
A7C7FF,N600HS,C525
406459,G-TCBB,B752
3C4A27,D-ABQG,DH8D
3965A8,F-GZNI,B77W
A352CF,N313JS,
405B19,G-MOOV,CRUZ
43E8B3,M-EVAN,CL30
C81D80,ZK-OKN,B77W
402272,G-OBMW,AA5
406381,G-DGFD,R44
A51992,N428CJ,C25C
484CB5,PH-BGN,B737
AAAE54,N788AX,B762
3C4863,D-ABCC,A321
3C0C9A,D-ATUB,B738
47873D,LN-DYO,B738
45AA9A,OY-JTZ,B737
4CA90F,EI-EPA,B738
C81D82,ZK-OKO,B77W
89605D,A6-LIW,RJ70
A63C5E,N5000X,GLF5
43E82E,M-NYJT,CL30
4CA912,EI-EPD,B738
440063,OE-LGC,DH8D
401786,G-AWEZ,P28R
06A07B,A7-BAN,B77W
4CA11A,EI-CNR,MD83
47873E,LN-DYN,B738
461D7E,OH-LEK,E170
4CA911,EI-EPC,B738
3C09F4,D-ASTZ,A319
A10BB0,N167AA,GLF4
403C75,G-BWUH,P28A
3DF54D,D-HNDL,S76
C81D7E,ZK-OKM,B77W
4D400E,3A-MRG,C25B
508231,UR-DAE,A320
400E01,G-OTNA,R44
4CA7C8,EI-EEW,B733
43E832,M-CIRU,SR20
7101F6,HZ-DMO,B733
300312,I-SMEN,MD83
484D11,PH-OYJ,B763
AE0480,60-0324,K35R
A3F1CE,N353VA,GLF3
40645A,G-TCBC,B752
406442,G-EZGE,A319
440303,OE-FMC,PRM1
4B0EDC,HB-FQI,PC12
4CA915,EI-EPG,B738
A7F234,N6108F,P46T
43E8B6,M-ABDO,B738
ABFDF7,N872CA,DC87
8691AA,JA784A,B77W
44CE71,OO-SSQ,A319
4C8040,5B-DCM,A320
C078B7,C-GTSO,A333
AA6011,N768JJ,GLF5
4A8184,84004,C130
4B0EDF,HB-FQL,PC12
400EEE,G-BYVR,G115
4062C1,G-CGLZ,ULAC
43C34D,ZA314,S61
A0D273,N152JP,BE35
ADB095,N981TS,GLEX
471F4D,HA-LWF,A320
800160,VT-EYJ,A320
440251,OE-FMI,C525
E487B6,PT-PYQ,E50P
49D23F,OK-ILA,C25A
4062BA,G-CKSC,CRUZ
4B196A,HB-JQG,E190
404C67,G-CDAC,EV97
400EC8,G-BYUD,G115
020009,CN-RNB,B735
40651B,G-GIPC,P32R
A1E2CF,N220UM,P46T
402916,G-OEAT,R22
40637C,G-RMCM,
31FF13,I-PDVD,P06T
AD9E3D,N977GA,GLF5
600BE8,4K-BAKU,B763
4CA916,EI-EPH,B738
391A2B,F-GGRL,M20P
43C4CD,ZD574,H47
4D02BD,LX-WAP,ATP
02009F,CN-ROW,B763
A1B7AF,N21FJ,GLF4
AE0549,70-0452,C5
A04B10,N118MT,CL60
ABC8D3,N859AM,B738
0200E0,CN-MBR,E55P
4BA94C,TC-JJL,B77W
A4D979,N411ST,CL30
AE29FE,166695,B737
71BA27,HL7227,B737
A8E34D,N672BP,CL30
A5087F,N423TT,GLF4
4062DC,G-CGJS,CRUZ
0200AC,CN-AMS,GLF5
0640FC,5N-FNB,A320
424181,VP-CBG,SBR1
400C72,G-BAVL,PA27
3944C6,F-GRGG,E145
A18E9D,N2PG,GLF4
4064B0,G-DDDJ,LJ45
40239C,G-OJPS,B06
A94292,N696SB,F2TH
49128C,CS-DTL,LJ40
0640FB,5N-FNA,A320
40649D,G-CGSG,C421
A0019F,N1SN,GLF4
3E1F4B,D-IDAX,C425
3E3A30,D-INFS,C525
400ED1,G-BYUM,G115
AB0F96,N8111H,
0200BD,12-TL,TEX2
0200B8,09-TI,TEX2
406569,G-FLBG,DH8D
43C07D,XW847,GAZL
404F38,G-CECI,
3E4719,D-ISCV,C25A
3C6486,D-AIDF,A321
440024,OE-FGI,C525
3C65A6,D-AIMF,A388
AB7DE5,N84EA,C750
4A9322,SE-DYB,FA10
A31D81,N30FL,BE9L
AA18C8,N75ME,BE30
3000FF,I-AIRX,J328
406441,G-EZUG,A320
3C6487,D-AIDG,A321
3C07F2,D-ASAF,GLF5
4BAA4E,TC-JRN,A321
A1B0B5,N208L,H25C
AE08F3,85-0147,BE20
4064DF,G-PLIP,DA40
43E89C,M-RIDE,GL5T
34164B,EC-IOB,A346
43E8B8,M-ROWL,F2TH
4BA9CD,TC-JNM,A333
4056F1,G-CEYO,AS50
424247,VP-BIU,A319
43C6B6,ZK456,BE20
0D07E7,XA-MPS,GLF5
406445,G-EZGH,A319
A81FAB,N622WM,CL60
07402E,S7-ILF,B762
7335CD,EP-MNM,A306
3965A9,F-GZNJ,B77W
3C4A29,D-ABQI,DH8D
43E88C,M-HNOY,CL60
344099,EC-LLJ,A320
AE01C0,165094,GLF4
4012DD,G-SDAT,FDCT
A3E403,N35RZ,F900
484CB6,PH-BGO,B737
71BC23,HL7423,B744
7C4929,VH-OQJ,A388
7380AB,4X-EAL,B763
4054C3,G-DBLX,HUSK
3955F3,F-GVPT,C172
AD3FDC,N953AR,MD11
71BF66,HL7766,B772
AA998A,N782SF,GLEX
C082CD,C-GXNW,G150
A24BF9,N247WE,CL60
4BAA4D,TC-JRM,A321
4B0EE0,HB-FQM,PC12
400ED2,G-BYUN,G115
400EEC,G-BYVO,G115
4061A4,G-KLAW,EAGL
3A22B4,F-OIVU,A321
E4887E,PT-PUB,E55P
43E8AF,M-RWGW,LJ45
AE04EF,86-0079,BE20
A6C4B3,N535TK,
7C4CAF,VH-PFL,GLF5
3C1647,D-AXLI,B738
C047EB,C-GBGC,GLF5
ACCA1C,N923JE,F2TH
484D02,PH-AJX,FA7X
405D94,G-NYNA,RV9
A590EA,N458MC,B744
AD38DF,N951FD,B752
4841C5,PH-CKC,B744
3D2B4F,D-EOQP,C182
A5CC61,N473BJ,SR22
71BF52,HL7752,B772
406440,G-EZUF,A320
4249B5,VQ-BIV,A320
0A4024,7T-WIG,IL76
3C55A7,D-AEMG,E190
49D1A0,OK-PBS,C525
3C5447,D-AEBG,E190
404515,G-ZZOE,EC20
3E224D,D-IEEN,C510
4045A7,G-CBAX,ECHO
4063B2,G-GIBP,Z26
0D05C4,XA-FEM,GLF5
A95DA9,N702TD,BE10
4D2055,9H-BOF,H25B
44D1CF,OO-TNO,B734
3000DD,I-SMET,MD82
342250,EC-JLE,A346
400ED5,G-BYUR,G115
4CC268,TF-FIC,B752
43E8AC,M-BETS,AC95
4CA936,EI-EJI,A332
48499F,PH-1106,G109
484AB1,PH-1423,DIMO
4CA8AC,EI-EOJ,B738
4B18F2,HB-JLQ,A320
A63EEF,N501PC,CL60
0D0619,XA-VIL,B733
A7D067,N602TS,CL60
A578CD,N4514X,P28A
A2444D,N245TT,GLF5
4D0252,LX-STC,A320
A8DAF4,N67SE,P28A
4062B0,G-REAF,JAB4
404FFC,G-CEAM,
4950D9,CS-TFY,A320
401B6E,G-BCIH,DHC1
A008CB,N101DW,P32R
343488,EC-LCZ,A346
A9A289,N72PS,F2TH
440565,OE-HGE,GALX
43E8AB,M-DARA,F2TH
44CDC1,OO-SNA,A320
451F8A,LZ-BPS,ATP
70C009,A4O-AB,GLF4
A6B538,N531MA,PA46
898037,P2-ANB,B752
010078,SU-BAE,C130
C010B3,C-FGIK,CL30
A1E99D,N222NB,GLF4
010154,SU-GDR,B77W
7CF85C,A36-001,B737
